"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","391","Home page loads","Playwright E2E Tests","Fri Jul 04 03:57:55 UTC 2025","passed","Fri Jul 04 03:57:55 UTC 2025","Smoke Tests > Tests the home page","specs/smoke/example.spec.ts","",""
"","10094","renders the site header","","Fri Jul 04 03:57:31 UTC 2025","passed","Fri Jul 04 03:57:41 UTC 2025","","WDIO E2E Testing","",""
"","489","Homepage smoke test","Cypress E2E Tests","Fri Jul 04 03:57:52 UTC 2025","passed","Fri Jul 04 03:57:53 UTC 2025","","Testing the Home Page","",""
"","336","checks random elements on the page","","Fri Jul 04 03:57:31 UTC 2025","passed","Fri Jul 04 03:57:31 UTC 2025","","WDIO E2E Testing","",""
